Name,Initial Share Cost,Share Cost,Initial Worth,Worth,GainedTotal,GainedPercent
MSFT,307.6715,310.63,50.00000313649999,50.48079193,0.4807887935000039,0.0095241927695329
UNH,498.9472,494.2,49.9999978592,49.5242762,-0.4757216592000048,-0.00951443359137
ELV,477.0583,464.47,50.0000033647,48.680636230000005,-1.319367134699995,-0.0263873409182901
CI,255.8055,260.74,49.9999988355,50.96450114,0.9645023045000016,0.0189249827414282
AMZN,102.9152,105.45,50.0000120224,51.23151165,1.2314996276000016,0.0240379326695116
GOOG,108.5651,105.94,49.9999825003,48.79098482,-1.208997680300001,-0.0241799620688416
PEP,193.9857,194.27,50.000008160700006,50.07328677,0.0732786092999973,0.0014634271889638
DIS,102.3351,100.5,50.0000088441,49.1033955,-0.8966133441000039,-0.0179322637101053
CRM,198.7202,197.51,49.999989522,49.6954911,-0.3044984220000017,-0.0060899697162141
PGR,136.0452,129.52,50.00001213,47.601838,-2.398174129999994,-0.0479634709640618
